warningCode,phenomenon,level,category,nameJa,nameEn,notes
33,大雨,5,特別警報,レベル5大雨特別警報,Level 5 heavy rain special warning,
43,大雨,4,危険警報,レベル4大雨危険警報,Level 4 heavy rain danger warning,
03,大雨,3,警報,レベル3大雨警報,Level 3 heavy rain warning,
10,大雨,2,注意報,レベル2大雨注意報,Level 2 heavy rain advisory,
39,土砂災害,5,特別警報,レベル5土砂災害特別警報,Level 5 landslide disaster special warning,
49,土砂災害,4,危険警報,レベル4土砂災害危険警報,Level 4 landslide disaster danger warning,
09,土砂災害,3,警報,レベル3土砂災害警報,Level 3 landslide disaster warning,
29,土砂災害,2,注意報,レベル2土砂災害注意報,Level 2 landslide disaster advisory,
38,高潮,5,特別警報,レベル5高潮特別警報,Level 5 storm surge special warning,
48,高潮,4,危険警報,レベル4高潮危険警報,Level 4 storm surge danger warning,
08,高潮,3,警報,レベル3高潮警報,Level 3 storm surge warning,
19,高潮,2,注意報,レベル2高潮注意報,Level 2 storm surge advisory,
32,暴風雪・風雪,,特別警報,暴風雪特別警報,Blizzard special warning,
02,暴風雪・風雪,,警報,暴風雪警報,Blizzard warning,
13,暴風雪・風雪,,注意報,風雪注意報,Snowstorm advisory,暴風雪警報に対応する注意報は風雪注意報
35,暴風・強風,,特別警報,暴風特別警報,Storm special warning,
05,暴風・強風,,警報,暴風警報,Storm warning,
15,暴風・強風,,注意報,強風注意報,Strong wind advisory,暴風警報に対応する注意報は強風注意報
36,大雪,,特別警報,大雪特別警報,Heavy snow special warning,
06,大雪,,警報,大雪警報,Heavy snow warning,
12,大雪,,注意報,大雪注意報,Heavy snow advisory,
37,波浪,,特別警報,波浪特別警報,High waves special warning,
07,波浪,,警報,波浪警報,High waves warning,
16,波浪,,注意報,波浪注意報,High waves advisory,
14,雷,,注意報,雷注意報,Thunderstorm advisory,
17,融雪,,注意報,融雪注意報,Snowmelt advisory,
20,濃霧,,注意報,濃霧注意報,Dense fog advisory,
21,乾燥,,注意報,乾燥注意報,Dry air advisory,
22,なだれ,,注意報,なだれ注意報,Avalanche advisory,
23,低温,,注意報,低温注意報,Low temperature advisory,
24,霜,,注意報,霜注意報,Frost advisory,
25,着氷,,注意報,着氷注意報,Icing advisory,
26,着雪,,注意報,着雪注意報,Snow accretion advisory,
27,その他,,注意報,その他の注意報,Other advisory,その他の気象注意報としてとりまとめられる場合があります
00,解除,,解除,解除,Release,令和8年体系のスキーマでは運用しないとされています
